term	level	class
GO:0001717	8	biological_process
GO:0001720	8	biological_process
GO:0001725	3	cellular_component
GO:0001726	4	cellular_component
GO:0001727	5	molecular_function
GO:0001729	6	molecular_function
GO:0001730	6	molecular_function
GO:0001731	7	biological_process
GO:0001732	7	biological_process
GO:0001733	6	molecular_function
GO:0001734	6	molecular_function
GO:0001735	5	molecular_function
GO:0001736	4	biological_process
GO:0001737	4	biological_process
GO:0001738	5	biological_process
GO:0001739	5	cellular_component
GO:0001740	7	cellular_component
GO:0001741	7	cellular_component
GO:0001742	4	biological_process
GO:0001743	4	biological_process
GO:0001744	4	biological_process
GO:0001745	6	biological_process
GO:0001746	6	biological_process
GO:0001748	3	biological_process
GO:0001750	2	cellular_component
GO:0001751	7	biological_process
GO:0001752	7	biological_process
GO:0001754	6	biological_process
GO:0001755	6	biological_process
GO:0001756	3	biological_process
GO:0001757	4	biological_process
GO:0001758	5	molecular_function
GO:0001759	3	biological_process
GO:0001760	5	molecular_function
GO:0001761	7	molecular_function
GO:0001762	7	biological_process
GO:0001763	2	biological_process
GO:0001764	4	biological_process
GO:0001765	6	biological_process
GO:0001766	6	biological_process
GO:0001767	4	biological_process
GO:0001768	5	biological_process
GO:0001769	5	biological_process
GO:0001770	5	biological_process
GO:0001771	4	biological_process
GO:0001772	2	cellular_component
GO:0001773	4	biological_process
GO:0001774	4	biological_process
GO:0001775	2	biological_process
GO:0001776	2	biological_process
GO:0001777	6	biological_process
GO:0001778	6	biological_process
GO:0001779	5	biological_process
GO:0001780	3	biological_process
GO:0001781	6	biological_process
GO:0001782	4	biological_process
GO:0001783	7	biological_process
GO:0001784	5	molecular_function
GO:0001785	8	molecular_function
GO:0001786	3	molecular_function
GO:0001787	5	biological_process
GO:0001788	4	biological_process
GO:0001790	4	molecular_function
GO:0001791	4	molecular_function
GO:0001792	5	molecular_function
GO:0001793	5	molecular_function
GO:0001794	6	biological_process
GO:0001795	6	biological_process
GO:0001796	8	biological_process
GO:0001797	9	biological_process
GO:0001798	9	biological_process
GO:0001799	8	biological_process
GO:0001800	9	biological_process
GO:0001801	9	biological_process
GO:0001802	5	biological_process
GO:0001803	7	biological_process
GO:0001804	8	biological_process
GO:0001805	8	biological_process
GO:0001806	6	biological_process
GO:0001807	8	biological_process
GO:0001808	9	biological_process
GO:0001809	9	biological_process
GO:0001810	8	biological_process
GO:0001811	9	biological_process
GO:0001812	9	biological_process
GO:0001813	6	biological_process
GO:0001814	7	biological_process
GO:0001815	7	biological_process
GO:0001816	2	biological_process
GO:0001817	4	biological_process
GO:0001818	5	biological_process
GO:0001819	5	biological_process
GO:0001820	5	biological_process
GO:0001821	5	biological_process
GO:0001822	4	biological_process
GO:0001823	5	biological_process
GO:0001824	3	biological_process
GO:0001825	3	biological_process
GO:0001826	4	biological_process
GO:0001827	4	biological_process
GO:0001828	4	biological_process
GO:0001829	4	biological_process
GO:0001830	4	biological_process
GO:0001831	4	biological_process
GO:0001832	3	biological_process
GO:0001833	3	biological_process
GO:0001834	3	biological_process
GO:0001835	4	biological_process
GO:0001836	7	biological_process
GO:0001837	5	biological_process
GO:0001838	5	biological_process
GO:0001839	5	biological_process
GO:0001840	5	biological_process
GO:0001841	6	biological_process
GO:0001842	3	biological_process
GO:0001843	5	biological_process
GO:0001844	6	biological_process
GO:0001845	6	biological_process
GO:0001846	3	molecular_function
GO:0001847	4	molecular_function
GO:0001848	3	molecular_function
GO:0001849	3	molecular_function
GO:0001850	4	molecular_function
GO:0001851	4	molecular_function
GO:0001852	4	molecular_function
GO:0001853	4	molecular_function
GO:0001854	4	molecular_function
GO:0001855	4	molecular_function
GO:0001856	4	molecular_function
GO:0001857	5	molecular_function
GO:0001858	5	molecular_function
GO:0001859	5	molecular_function
GO:0001860	5	molecular_function
GO:0001861	5	molecular_function
GO:0001862	4	molecular_function
GO:0001863	5	molecular_function
GO:0001864	4	molecular_function
GO:0001865	7	biological_process
GO:0001866	7	biological_process
GO:0001867	4	biological_process
GO:0001868	6	biological_process
GO:0001869	7	biological_process
GO:0001870	7	biological_process
GO:0001872	4	molecular_function
GO:0001873	4	molecular_function
GO:0001874	5	molecular_function
GO:0001875	4	molecular_function
GO:0001876	5	molecular_function
GO:0001877	4	molecular_function
GO:0001878	4	biological_process
GO:0001879	5	biological_process
GO:0001880	3	biological_process
GO:0001881	5	biological_process
GO:0001882	3	molecular_function
GO:0001883	4	molecular_function
GO:0001884	4	molecular_function
GO:0001885	5	biological_process
